filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
PXL_20230614_191144134.jpg,4590279,"{}",567,0,"{""name"":""circle"",""cx"":1167,""cy"":495,""r"":32.881}","{""class_name"":""0""}"
PXL_20230614_191144134.jpg,4590279,"{}",567,1,"{""name"":""circle"",""cx"":1232,""cy"":427,""r"":34.784}","{""class_name"":""1""}"
PXL_20230614_191144134.jpg,4590279,"{}",567,2,"{""name"":""circle"",""cx"":1559,""cy"":449,""r"":34.784}","{""class_name"":""2""}"
PXL_20230614_191144134.jpg,4590279,"{}",567,3,"{""name"":""circle"",""cx"":1397,""cy"":366,""r"":32.365}","{""class_name"":""0""}"
PXL_20230614_191144134.jpg,4590279,"{}",567,4,"{""name"":""circle"",""cx"":1333,""cy"":446,""r"":34.794}","{""class_name"":""0""}"
PXL_20230614_191144134.jpg,4590279,"{}",567,5,"{""name"":""circle"",""cx"":1260,""cy"":521,""r"":35}","{""class_name"":""0""}"
PXL_20230614_191144134.jpg,4590279,"{}",567,6,"{""name"":""circle"",""cx"":1358,""cy"":544,""r"":35}","{""class_name"":""0""}"
PXL_20230614_191144134.jpg,4590279,"{}",567,7,"{""name"":""circle"",""cx"":1431,""cy"":472,""r"":36.233}","{""class_name"":""0""}"
PXL_20230614_191144134.jpg,4590279,"{}",567,8,"{""name"":""circle"",""cx"":1404,""cy"":1153,""r"":33.818}","{""class_name"":""2""}"
PXL_20230614_191144134.jpg,4590279,"{}",567,9,"{""name"":""circle"",""cx"":1563,""cy"":1142,""r"":35.294}","{""class_name"":""2""}"
PXL_20230614_191144134.jpg,4590279,"{}",567,10,"{""name"":""circle"",""cx"":1587,""cy"":1388,""r"":35}","{""class_name"":""2""}"
PXL_20230614_191144134.jpg,4590279,"{}",567,11,"{""name"":""circle"",""cx"":1505,""cy"":1286,""r"":35.267}","{""class_name"":""2""}"
